nombre_empleado;edad;departamento;salud;dinero;familia;amor
Valentina Rodríguez;23;Producción;6%;20%;23%;1%
Mariana Arango;59;Compras;6%;2%;8%;9%
Sebastián Martínez;25;Finanzas;4%;15%;1%;6%
Juan Arango;41;Logística;10%;21%;24%;13%
Juan Martínez;55;Sistemas;5%;11%;25%;12%
Andrea Gómez;47;Recursos Humanos;3%;1%;10%;18%
Luis Fernández;22;Logística;12%;20%;7%;5%
Laura Sánchez;52;Marketing;16%;9%;23%;5%
Juan Arango;33;Finanzas;4%;8%;21%;23%
Camila Arango;57;Recursos Humanos;19%;7%;8%;24%
Pedro Rodríguez;40;Logística;13%;18%;25%;24%
Valentina Rodríguez;30;Ventas;8%;12%;21%;14%
Sebastián Fernández;38;Marketing;18%;12%;15%;4%
Laura López;25;Marketing;18%;23%;14%;20%
Valentina Ramírez;28;Compras;21%;16%;5%;16%
Pedro López;28;Marketing;18%;8%;22%;20%
Mariana Fernández;23;Ventas;21%;1%;21%;16%
Sebastián Rodríguez;31;Finanzas;3%;22%;17%;19%
Laura Rodríguez;43;Recursos Humanos;22%;3%;16%;20%
Laura Sánchez;37;Logística;2%;15%;13%;5%
Sebastián Gómez;34;Logística;22%;23%;21%;8%
Carlos Rodríguez;24;Logística;18%;2%;12%;16%
Sebastián Gómez;61;Logística;9%;8%;15%;2%
Luis Fernández;65;Logística;19%;14%;13%;6%
Mariana Torres;41;Ventas;8%;11%;17%;16%
Sebastián López;21;Compras;9%;16%;23%;3%
Juan Sánchez;52;Sistemas;6%;11%;18%;21%
Camila Fernández;20;Ventas;4%;4%;21%;13%
Mariana Sánchez;50;Marketing;20%;8%;12%;14%
Carlos Rodríguez;23;Recursos Humanos;19%;4%;23%;1%
Juan Gómez;27;Logística;4%;2%;7%;10%
Camila Gómez;65;Compras;23%;23%;13%;13%
Juan Martínez;51;Recursos Humanos;8%;23%;17%;4%
Juan Torres;33;Ventas;12%;13%;16%;3%
Juan Fernández;20;Finanzas;14%;1%;3%;18%
Valentina Gómez;65;Sistemas;8%;1%;16%;10%
Juan Sánchez;47;Logística;15%;1%;12%;13%
Pedro López;33;Marketing;11%;24%;22%;25%
Camila Martínez;19;Finanzas;18%;11%;8%;5%
Pedro López;29;Finanzas;1%;22%;13%;20%
Carlos Arango;29;Recursos Humanos;14%;8%;25%;16%
Laura Pérez;64;Ventas;9%;11%;7%;16%
Andrea Torres;44;Ventas;12%;3%;18%;22%
Sebastián Pérez;18;Finanzas;18%;6%;24%;6%
Andrea Torres;45;Recursos Humanos;12%;8%;1%;9%
Sebastián Arango;58;Sistemas;6%;18%;12%;18%
Laura Rodríguez;50;Producción;21%;8%;7%;19%
Camila Martínez;27;Recursos Humanos;11%;20%;11%;12%
Sebastián Gómez;36;Finanzas;5%;10%;24%;19%
Pedro Ramírez;38;Sistemas;13%;4%;3%;2%
Valentina Martínez;63;Logística;15%;7%;7%;24%
Pedro Torres;31;Recursos Humanos;16%;21%;20%;9%
Andrea Rodríguez;31;Marketing;21%;2%;25%;11%
Pedro Torres;52;Compras;9%;11%;19%;6%
Carlos Martínez;34;Sistemas;5%;8%;4%;19%
Juan Rodríguez;34;Ventas;8%;11%;2%;18%
Luis Rodríguez;43;Marketing;8%;10%;13%;4%
Pedro Rodríguez;26;Ventas;25%;19%;8%;13%
Juan Gómez;29;Sistemas;5%;3%;2%;23%
Laura Fernández;29;Ventas;18%;19%;21%;11%
Laura Ramírez;31;Marketing;24%;24%;7%;25%
Camila Sánchez;50;Recursos Humanos;25%;16%;24%;20%
Mariana Pérez;55;Ventas;3%;18%;21%;13%
Luis Torres;61;Marketing;10%;19%;12%;14%
Carlos Ramírez;44;Recursos Humanos;1%;3%;15%;11%
Laura Rodríguez;63;Producción;2%;2%;13%;5%
Camila Rodríguez;20;Ventas;3%;20%;13%;1%
Carlos Martínez;28;Logística;15%;6%;10%;23%
Juan Gómez;50;Sistemas;3%;21%;20%;9%
Sebastián Torres;49;Recursos Humanos;10%;7%;2%;21%
Valentina Pérez;51;Sistemas;12%;9%;2%;23%
Carlos Fernández;19;Ventas;13%;13%;10%;24%
Camila Arango;46;Recursos Humanos;19%;3%;2%;22%
Laura Torres;44;Marketing;21%;12%;18%;22%
Pedro Rodríguez;51;Sistemas;16%;25%;14%;20%
Laura López;19;Ventas;8%;13%;11%;19%
Carlos Pérez;60;Logística;25%;24%;22%;23%
Laura Fernández;26;Recursos Humanos;3%;6%;17%;14%
Carlos Torres;51;Marketing;17%;2%;25%;5%
Sebastián Rodríguez;36;Marketing;24%;7%;8%;2%
Luis Pérez;39;Compras;18%;2%;20%;15%
Camila Gómez;31;Producción;18%;4%;13%;8%
Andrea Torres;45;Finanzas;10%;9%;13%;18%
Pedro Rodríguez;52;Marketing;2%;17%;11%;2%
Camila Martínez;53;Marketing;25%;6%;20%;23%
Mariana López;31;Compras;24%;11%;2%;5%
Camila Torres;62;Ventas;15%;4%;21%;13%
Camila Gómez;33;Marketing;5%;9%;2%;3%
Sebastián Sánchez;32;Recursos Humanos;25%;11%;23%;3%
Carlos Pérez;40;Compras;19%;19%;20%;10%
Luis Fernández;28;Ventas;2%;12%;7%;15%
Luis Gómez;60;Marketing;24%;3%;3%;15%
Sebastián Torres;46;Sistemas;7%;1%;12%;23%
Luis Rodríguez;49;Sistemas;14%;5%;20%;3%
Sebastián Martínez;25;Marketing;8%;1%;5%;5%
Camila Torres;32;Ventas;23%;7%;12%;6%
Juan Martínez;43;Finanzas;12%;20%;15%;14%
Valentina Arango;65;Compras;23%;6%;25%;3%
Carlos Rodríguez;33;Producción;5%;17%;6%;14%
Luis Pérez;57;Logística;12%;20%;10%;18%
Mariana Fernández;30;Compras;16%;5%;6%;7%
Laura Pérez;38;Logística;16%;13%;4%;7%
Camila Rodríguez;24;Marketing;16%;14%;23%;18%
Sebastián Arango;20;Logística;19%;4%;1%;7%
Juan Rodríguez;37;Producción;16%;4%;12%;4%
Sebastián Martínez;38;Sistemas;1%;8%;5%;16%
Luis López;36;Finanzas;7%;8%;8%;17%
Camila Rodríguez;36;Recursos Humanos;1%;1%;3%;12%
Pedro Ramírez;45;Logística;11%;11%;12%;16%
Andrea Rodríguez;47;Recursos Humanos;5%;6%;10%;16%
Andrea Martínez;26;Compras;20%;4%;9%;4%
Sebastián Fernández;57;Recursos Humanos;17%;20%;20%;21%
Camila Arango;28;Sistemas;22%;10%;4%;21%
Juan Gómez;45;Marketing;21%;25%;6%;6%
Camila Gómez;42;Producción;2%;14%;12%;22%
Luis Rodríguez;40;Recursos Humanos;4%;17%;8%;3%
Mariana Martínez;61;Logística;14%;21%;2%;8%
Laura Sánchez;64;Recursos Humanos;17%;1%;8%;25%
Sebastián Arango;18;Recursos Humanos;14%;3%;13%;12%
Valentina Martínez;58;Producción;16%;18%;8%;16%
Pedro Arango;35;Ventas;14%;8%;21%;21%
Sebastián Ramírez;27;Ventas;1%;25%;20%;20%
Laura Gómez;38;Sistemas;13%;23%;15%;17%
Sebastián Ramírez;57;Finanzas;1%;9%;5%;1%
Camila Torres;48;Sistemas;13%;12%;23%;18%
Valentina Torres;18;Logística;19%;11%;23%;10%
Carlos Ramírez;48;Recursos Humanos;13%;11%;19%;14%
Mariana Martínez;40;Ventas;20%;18%;7%;16%
Carlos Martínez;21;Ventas;4%;20%;15%;6%
Carlos Rodríguez;34;Compras;15%;5%;1%;18%
Carlos Gómez;38;Compras;1%;7%;4%;14%
Pedro Pérez;48;Recursos Humanos;18%;8%;22%;11%
Laura Ramírez;25;Producción;14%;18%;23%;20%
Valentina Gómez;36;Compras;13%;4%;4%;7%
Carlos Arango;55;Producción;3%;25%;12%;19%
Camila Fernández;59;Producción;9%;17%;3%;13%
Laura Arango;37;Compras;15%;25%;7%;15%
Luis Torres;58;Compras;7%;6%;10%;2%
Andrea Torres;59;Compras;1%;22%;6%;11%
Andrea Fernández;52;Logística;16%;13%;4%;24%
Pedro Pérez;21;Compras;23%;6%;21%;19%
Pedro Arango;55;Marketing;24%;24%;23%;20%
Luis Torres;25;Recursos Humanos;9%;3%;24%;13%
Camila Ramírez;44;Ventas;16%;24%;3%;17%
Laura Torres;30;Marketing;16%;17%;4%;18%
Pedro Gómez;60;Ventas;10%;7%;1%;5%
Mariana Ramírez;22;Recursos Humanos;17%;4%;8%;22%
Juan Gómez;63;Logística;25%;7%;24%;14%
Carlos Rodríguez;55;Recursos Humanos;21%;24%;9%;15%
Juan Sánchez;42;Finanzas;13%;23%;12%;3%
Camila Martínez;64;Finanzas;10%;17%;19%;1%
Camila Arango;44;Producción;23%;19%;24%;18%
Valentina Fernández;37;Ventas;12%;16%;21%;7%
Carlos Gómez;63;Recursos Humanos;4%;7%;24%;7%
Pedro López;50;Ventas;21%;13%;12%;23%
Valentina Pérez;36;Marketing;11%;8%;7%;20%
Laura Sánchez;48;Recursos Humanos;15%;2%;7%;10%
Mariana Ramírez;30;Logística;17%;19%;1%;1%
Valentina López;36;Logística;7%;3%;14%;6%
Luis Fernández;38;Sistemas;2%;6%;2%;3%
Mariana Rodríguez;41;Sistemas;1%;25%;8%;18%
Carlos López;65;Compras;10%;7%;3%;6%
Sebastián Pérez;40;Recursos Humanos;25%;5%;18%;6%
Carlos Sánchez;38;Logística;17%;24%;2%;22%
Pedro Gómez;30;Finanzas;13%;13%;22%;24%
Sebastián Fernández;37;Marketing;14%;13%;5%;13%
Sebastián Arango;39;Ventas;8%;3%;12%;11%
Sebastián Pérez;38;Recursos Humanos;3%;2%;9%;13%
Laura Martínez;51;Producción;19%;11%;12%;9%
Luis Ramírez;48;Logística;2%;24%;12%;4%
Luis Gómez;51;Logística;12%;6%;17%;6%
Mariana Gómez;56;Logística;3%;3%;9%;21%
Laura Arango;57;Finanzas;16%;4%;13%;4%
Camila Gómez;38;Logística;23%;15%;23%;23%
Andrea Torres;39;Producción;7%;17%;23%;19%
Laura Torres;45;Producción;12%;8%;7%;25%
Mariana Gómez;44;Marketing;4%;20%;16%;5%
Carlos Pérez;26;Producción;21%;25%;16%;18%
Mariana Torres;39;Producción;23%;9%;5%;8%
Carlos Pérez;59;Marketing;4%;24%;12%;7%
Luis Pérez;27;Sistemas;24%;8%;6%;16%
Sebastián Rodríguez;25;Recursos Humanos;20%;17%;12%;17%
Andrea López;21;Compras;6%;24%;19%;13%
Laura López;31;Producción;7%;2%;23%;18%
Juan Ramírez;37;Finanzas;4%;20%;16%;16%
Juan Arango;55;Finanzas;22%;10%;2%;11%
Sebastián Pérez;48;Compras;17%;20%;8%;7%
Andrea Martínez;28;Compras;11%;4%;23%;1%
Pedro Rodríguez;45;Recursos Humanos;13%;6%;6%;4%
Valentina Torres;50;Finanzas;17%;7%;16%;8%
Andrea Fernández;41;Compras;23%;15%;17%;4%
Carlos Sánchez;60;Logística;2%;10%;13%;18%
Pedro Ramírez;25;Producción;11%;13%;6%;8%
Andrea Sánchez;25;Ventas;18%;23%;10%;13%
Mariana López;30;Finanzas;3%;23%;7%;5%
Sebastián Ramírez;34;Finanzas;19%;21%;6%;19%
Valentina Fernández;38;Logística;1%;24%;6%;25%
Camila Sánchez;31;Producción;16%;4%;8%;7%
Mariana Fernández;49;Finanzas;17%;3%;25%;6%
Sebastián López;28;Finanzas;15%;5%;25%;13%
Andrea Ramírez;18;Ventas;10%;24%;11%;15%
Carlos Martínez;32;Sistemas;20%;4%;24%;12%
Laura Pérez;25;Compras;2%;12%;17%;14%
Luis López;31;Recursos Humanos;8%;18%;5%;16%
Mariana Ramírez;44;Recursos Humanos;18%;1%;5%;7%
Juan Martínez;23;Recursos Humanos;25%;22%;18%;17%
Luis Fernández;28;Compras;14%;3%;3%;5%
Andrea Fernández;54;Producción;6%;3%;22%;13%
Mariana Ramírez;62;Ventas;22%;9%;17%;2%
Laura Torres;58;Ventas;1%;12%;13%;23%
Camila Gómez;59;Marketing;19%;25%;8%;23%
Laura Torres;41;Sistemas;9%;24%;11%;2%
Mariana López;28;Recursos Humanos;25%;15%;1%;1%
Camila Sánchez;55;Ventas;1%;8%;5%;24%
Laura Martínez;18;Logística;3%;22%;11%;9%
Juan Gómez;42;Recursos Humanos;12%;7%;21%;18%
Camila Pérez;33;Logística;24%;21%;13%;15%
Camila Pérez;57;Ventas;11%;25%;11%;14%
Luis Martínez;32;Recursos Humanos;16%;25%;23%;24%
Carlos Torres;27;Marketing;19%;8%;17%;25%
Carlos Arango;32;Marketing;16%;9%;2%;6%
Laura Gómez;65;Finanzas;1%;17%;16%;9%
Pedro López;50;Sistemas;8%;4%;14%;14%
Carlos Fernández;59;Ventas;14%;7%;16%;10%
Sebastián López;39;Sistemas;5%;9%;20%;20%
Andrea López;58;Compras;19%;10%;5%;20%
Sebastián Ramírez;46;Ventas;4%;5%;17%;22%
Mariana Arango;34;Producción;3%;7%;20%;25%
Pedro Rodríguez;32;Recursos Humanos;7%;20%;24%;9%
Mariana Ramírez;44;Compras;7%;24%;19%;3%
Sebastián Martínez;25;Logística;8%;6%;20%;7%
Luis Martínez;30;Recursos Humanos;11%;6%;17%;12%
Mariana Rodríguez;63;Finanzas;6%;5%;5%;10%
Luis Arango;34;Finanzas;3%;1%;23%;20%
Pedro Sánchez;27;Sistemas;21%;18%;14%;21%
Sebastián Gómez;41;Finanzas;16%;10%;13%;18%
Mariana López;62;Finanzas;6%;2%;15%;16%
Sebastián Sánchez;23;Marketing;12%;23%;12%;17%
Valentina Torres;34;Marketing;18%;13%;4%;1%
Sebastián Fernández;27;Producción;12%;1%;14%;9%
Laura Arango;50;Compras;24%;2%;6%;7%
Camila Ramírez;65;Compras;16%;2%;11%;10%
Camila Pérez;57;Marketing;1%;1%;14%;13%
Mariana Martínez;54;Recursos Humanos;5%;7%;1%;18%
Juan Sánchez;50;Compras;21%;3%;3%;19%
Luis Pérez;49;Producción;4%;13%;22%;7%
Camila Pérez;59;Ventas;5%;13%;22%;12%
Andrea Torres;60;Ventas;8%;25%;2%;14%
Andrea Arango;44;Finanzas;15%;18%;9%;1%
Andrea Sánchez;51;Marketing;3%;5%;7%;24%
Sebastián López;48;Compras;11%;16%;24%;25%
Andrea López;22;Sistemas;10%;24%;25%;17%
Luis Torres;45;Finanzas;4%;12%;18%;21%
Mariana Gómez;45;Compras;15%;23%;14%;15%
Mariana Pérez;25;Ventas;9%;6%;5%;7%
Laura Ramírez;36;Marketing;1%;23%;21%;11%
Sebastián Rodríguez;42;Marketing;7%;24%;24%;5%
Pedro Arango;19;Logística;20%;21%;8%;8%
Laura López;52;Producción;1%;17%;13%;5%
Andrea Torres;24;Marketing;21%;13%;3%;17%
Carlos Martínez;32;Finanzas;10%;11%;21%;3%
Sebastián Sánchez;27;Compras;10%;18%;16%;5%
Pedro Fernández;27;Finanzas;22%;17%;10%;5%
Valentina Torres;50;Compras;18%;13%;18%;15%
Valentina Gómez;62;Logística;17%;23%;3%;13%
Andrea Fernández;41;Producción;15%;14%;8%;6%
Luis Arango;37;Logística;25%;16%;6%;7%
Carlos Fernández;23;Ventas;16%;21%;23%;18%
Valentina Pérez;52;Sistemas;25%;20%;16%;12%
Mariana Fernández;51;Finanzas;17%;19%;20%;22%
Juan Torres;64;Compras;1%;7%;18%;23%
Valentina Sánchez;65;Producción;16%;4%;1%;5%
Laura Arango;40;Recursos Humanos;22%;10%;14%;7%
Valentina Ramírez;50;Producción;19%;16%;3%;23%
Laura Torres;28;Ventas;16%;11%;5%;19%
Valentina Ramírez;56;Sistemas;17%;24%;12%;22%
Andrea Torres;64;Producción;17%;22%;19%;14%
Sebastián Pérez;55;Compras;22%;4%;11%;13%
Carlos Gómez;24;Recursos Humanos;18%;15%;7%;12%
Valentina Rodríguez;43;Recursos Humanos;21%;2%;10%;14%
Luis Ramírez;58;Finanzas;24%;1%;24%;21%
Pedro Torres;55;Finanzas;4%;19%;16%;22%
Carlos López;19;Compras;21%;8%;2%;3%
Andrea Pérez;29;Logística;2%;3%;16%;13%
Laura Fernández;54;Compras;2%;9%;2%;13%
Luis Gómez;48;Sistemas;13%;10%;11%;18%
Valentina Fernández;65;Finanzas;10%;17%;5%;14%
Juan López;19;Logística;22%;25%;22%;17%
Mariana Ramírez;40;Logística;4%;3%;23%;19%
Pedro Torres;19;Recursos Humanos;23%;9%;24%;21%
Pedro Ramírez;51;Producción;19%;21%;18%;21%
Sebastián López;53;Ventas;10%;1%;4%;6%
Valentina Arango;48;Logística;11%;12%;12%;20%
Luis Pérez;60;Sistemas;7%;4%;2%;7%
Valentina Gómez;63;Producción;3%;10%;7%;10%
Sebastián Torres;25;Sistemas;16%;22%;24%;22%
Sebastián Rodríguez;61;Recursos Humanos;18%;1%;12%;12%
Pedro López;63;Finanzas;12%;11%;11%;19%
Valentina Martínez;24;Finanzas;4%;12%;6%;3%
Sebastián Ramírez;31;Recursos Humanos;18%;21%;6%;4%
Valentina Martínez;31;Finanzas;1%;11%;19%;9%
Laura Arango;19;Producción;14%;21%;4%;3%
Juan Gómez;32;Recursos Humanos;22%;1%;19%;12%
Laura Torres;37;Ventas;16%;23%;25%;12%
Pedro Sánchez;22;Logística;15%;13%;18%;15%
Laura Arango;62;Recursos Humanos;19%;1%;6%;14%
Sebastián Sánchez;27;Recursos Humanos;4%;1%;15%;16%
Valentina Gómez;32;Sistemas;24%;6%;1%;17%
Camila López;40;Recursos Humanos;23%;22%;18%;2%
Juan Torres;64;Sistemas;5%;1%;14%;16%
Andrea Gómez;27;Finanzas;20%;2%;18%;4%
Juan López;19;Marketing;13%;25%;6%;11%
Camila Martínez;63;Recursos Humanos;5%;2%;13%;22%
Pedro Ramírez;42;Logística;25%;23%;3%;12%
Sebastián Fernández;18;Ventas;3%;4%;11%;8%
Mariana Martínez;44;Finanzas;8%;21%;21%;13%
Camila Martínez;28;Finanzas;12%;19%;8%;15%
Sebastián Ramírez;25;Compras;15%;17%;2%;11%
Sebastián Fernández;41;Producción;4%;8%;24%;14%
Camila López;61;Recursos Humanos;20%;8%;9%;23%
Laura Pérez;62;Recursos Humanos;11%;3%;17%;24%
Pedro López;58;Compras;7%;7%;3%;24%
Valentina Ramírez;38;Compras;22%;1%;24%;21%
Carlos Martínez;51;Recursos Humanos;11%;15%;17%;19%
Pedro Pérez;21;Recursos Humanos;3%;10%;9%;1%
Laura López;19;Sistemas;11%;12%;9%;4%
Laura López;57;Logística;3%;1%;13%;11%
Mariana Pérez;57;Recursos Humanos;12%;19%;9%;7%
Carlos Rodríguez;60;Sistemas;13%;13%;11%;19%
Laura Rodríguez;59;Sistemas;16%;12%;1%;7%
Andrea Martínez;55;Finanzas;18%;23%;11%;25%
Mariana Ramírez;47;Finanzas;8%;1%;11%;7%
Luis Fernández;44;Marketing;4%;12%;19%;24%
Valentina Fernández;65;Recursos Humanos;16%;12%;7%;21%
Valentina Sánchez;49;Ventas;18%;6%;2%;4%
Andrea Torres;50;Recursos Humanos;15%;19%;20%;15%
Juan Gómez;60;Compras;12%;18%;21%;10%
Andrea Ramírez;61;Logística;2%;7%;9%;6%
Sebastián Rodríguez;33;Sistemas;8%;15%;25%;11%
Camila Sánchez;18;Recursos Humanos;9%;4%;2%;2%
Valentina Ramírez;56;Logística;6%;20%;24%;21%
Laura Rodríguez;42;Finanzas;11%;20%;1%;24%
Mariana Ramírez;38;Recursos Humanos;25%;13%;15%;14%
Valentina Gómez;26;Marketing;11%;12%;21%;2%
Carlos Martínez;47;Finanzas;18%;20%;23%;4%
Valentina López;32;Finanzas;3%;3%;22%;19%
Camila Rodríguez;63;Sistemas;16%;21%;22%;10%
Luis Arango;56;Sistemas;2%;11%;20%;13%
Mariana Martínez;23;Sistemas;4%;14%;1%;10%
Laura López;30;Recursos Humanos;7%;23%;4%;11%
Pedro López;22;Logística;1%;1%;22%;12%
Pedro Ramírez;41;Producción;15%;14%;4%;6%
Mariana Ramírez;43;Recursos Humanos;17%;15%;9%;22%
Sebastián Ramírez;58;Producción;11%;25%;17%;16%
Camila Sánchez;51;Ventas;6%;1%;22%;22%
Mariana Ramírez;49;Recursos Humanos;19%;18%;10%;5%
Camila Fernández;64;Producción;18%;16%;18%;25%
Laura Sánchez;42;Sistemas;4%;10%;5%;13%
Valentina López;29;Compras;17%;9%;5%;10%
Sebastián Sánchez;65;Compras;10%;22%;16%;8%
Camila Sánchez;34;Logística;1%;3%;20%;14%
Valentina Martínez;22;Marketing;12%;4%;18%;18%
Sebastián Arango;34;Ventas;25%;1%;24%;20%
Pedro Fernández;29;Finanzas;1%;14%;9%;25%
Laura Sánchez;33;Recursos Humanos;1%;25%;15%;10%
Camila Martínez;61;Marketing;20%;11%;23%;24%
Camila Gómez;49;Finanzas;23%;7%;7%;14%
Camila Ramírez;58;Sistemas;17%;24%;8%;19%
Mariana Gómez;48;Sistemas;23%;9%;9%;22%
Pedro Arango;21;Logística;10%;22%;5%;23%
Andrea Gómez;59;Finanzas;24%;14%;18%;8%
Pedro Ramírez;31;Producción;23%;6%;13%;3%
Luis Arango;22;Logística;25%;11%;19%;25%
Sebastián Gómez;56;Recursos Humanos;25%;7%;6%;16%
Mariana Fernández;55;Compras;11%;16%;2%;15%
Laura Pérez;46;Ventas;24%;22%;7%;13%
Juan López;36;Producción;16%;16%;18%;21%
Carlos López;27;Recursos Humanos;21%;20%;8%;22%
Carlos Rodríguez;51;Finanzas;24%;3%;6%;21%
Juan López;18;Finanzas;15%;4%;22%;14%
Juan Arango;33;Marketing;21%;6%;18%;23%
Sebastián López;29;Sistemas;13%;18%;14%;11%
Carlos Pérez;27;Logística;1%;4%;5%;2%
Andrea Fernández;49;Sistemas;22%;7%;17%;12%
Laura Sánchez;26;Ventas;17%;7%;17%;16%
Camila Pérez;21;Compras;23%;23%;8%;9%
Pedro Fernández;55;Sistemas;10%;25%;21%;1%
Sebastián Gómez;33;Ventas;4%;20%;4%;13%
Valentina Ramírez;46;Compras;9%;21%;3%;18%
Valentina Gómez;20;Producción;13%;15%;25%;3%
Carlos Sánchez;35;Producción;6%;2%;23%;16%
Sebastián Torres;43;Marketing;5%;15%;4%;20%
Carlos Torres;49;Finanzas;19%;3%;13%;12%
Andrea Pérez;23;Sistemas;2%;21%;8%;7%
Andrea Martínez;27;Recursos Humanos;24%;23%;24%;7%
Andrea Sánchez;50;Compras;15%;19%;22%;17%
Andrea Gómez;29;Producción;12%;13%;25%;7%
Pedro Pérez;21;Logística;13%;19%;10%;19%
Carlos Gómez;25;Compras;23%;9%;24%;7%
Juan López;55;Marketing;23%;9%;6%;13%
Mariana Torres;49;Finanzas;6%;6%;20%;1%
Camila Sánchez;25;Recursos Humanos;23%;6%;16%;23%
Andrea Arango;35;Finanzas;23%;18%;1%;5%
Sebastián Gómez;25;Producción;17%;20%;24%;9%
Luis Arango;57;Producción;6%;22%;7%;23%
Laura Fernández;20;Finanzas;10%;18%;20%;24%
Pedro Pérez;43;Sistemas;11%;14%;21%;23%
Mariana Martínez;44;Recursos Humanos;4%;10%;8%;2%
Juan Ramírez;44;Producción;25%;18%;10%;5%
Andrea Fernández;50;Producción;23%;20%;9%;14%
Carlos Rodríguez;61;Producción;2%;15%;4%;13%
Pedro Rodríguez;32;Recursos Humanos;21%;3%;14%;18%
Valentina Rodríguez;21;Producción;14%;1%;1%;2%
Valentina Arango;35;Recursos Humanos;10%;17%;13%;20%
Juan Sánchez;64;Compras;8%;16%;6%;11%
Juan Gómez;29;Logística;23%;13%;6%;5%
Valentina Arango;27;Producción;7%;24%;16%;9%
Mariana Fernández;27;Ventas;8%;17%;3%;25%
Luis Sánchez;54;Producción;6%;17%;6%;25%
Andrea Pérez;25;Ventas;14%;17%;12%;8%
Andrea Arango;40;Producción;6%;22%;24%;14%
Valentina Gómez;25;Finanzas;16%;7%;15%;8%
Laura López;65;Finanzas;11%;4%;1%;2%
Sebastián Gómez;18;Marketing;7%;3%;25%;20%
Carlos Ramírez;57;Compras;13%;19%;16%;25%
Mariana Gómez;26;Recursos Humanos;17%;10%;19%;13%
Carlos Gómez;32;Marketing;7%;23%;20%;22%
Laura Torres;38;Producción;16%;24%;9%;24%
Valentina Ramírez;64;Sistemas;20%;11%;3%;14%
Mariana Sánchez;53;Logística;18%;5%;4%;18%
Luis Torres;41;Finanzas;13%;21%;15%;20%
Juan Pérez;18;Recursos Humanos;3%;9%;19%;17%
Sebastián Sánchez;37;Compras;22%;22%;8%;16%
Mariana Pérez;46;Recursos Humanos;2%;4%;21%;25%
Camila Pérez;47;Producción;23%;7%;10%;11%
Juan Martínez;43;Marketing;16%;14%;1%;12%
Andrea Arango;56;Marketing;9%;12%;14%;9%
Juan Arango;52;Compras;5%;5%;14%;10%
Luis Ramírez;55;Sistemas;15%;19%;9%;13%
Sebastián Rodríguez;22;Recursos Humanos;12%;16%;2%;17%
Pedro Fernández;46;Ventas;10%;4%;13%;2%
Mariana Fernández;55;Compras;24%;17%;6%;18%
Valentina Pérez;58;Compras;16%;14%;3%;12%
Sebastián Fernández;26;Producción;9%;22%;19%;15%
Sebastián Sánchez;32;Logística;19%;15%;14%;11%
Juan Torres;25;Sistemas;24%;9%;17%;7%
Andrea Martínez;63;Finanzas;9%;18%;13%;2%
Sebastián López;20;Recursos Humanos;7%;1%;3%;6%
Andrea López;61;Logística;25%;2%;4%;19%
Camila Pérez;63;Compras;13%;10%;19%;16%
Sebastián Torres;58;Recursos Humanos;24%;11%;21%;3%
Luis Sánchez;60;Compras;7%;14%;17%;15%
Laura López;19;Ventas;4%;15%;22%;15%
Sebastián Gómez;22;Compras;2%;23%;21%;4%
Camila Gómez;32;Recursos Humanos;16%;22%;9%;8%
Pedro Ramírez;35;Compras;25%;7%;21%;19%
Pedro López;36;Producción;16%;20%;13%;25%
Laura Sánchez;49;Logística;21%;13%;19%;7%
Andrea Gómez;32;Sistemas;14%;10%;1%;13%
Valentina Gómez;33;Logística;9%;2%;9%;10%
Mariana Rodríguez;55;Producción;13%;17%;9%;22%
Sebastián Gómez;26;Logística;6%;15%;4%;24%
Luis Arango;61;Marketing;13%;2%;6%;7%
Camila Fernández;64;Finanzas;6%;3%;8%;13%
Juan Fernández;56;Producción;5%;21%;12%;17%
Camila Arango;24;Finanzas;18%;3%;9%;15%
Mariana Pérez;30;Recursos Humanos;25%;7%;20%;8%
Carlos Sánchez;40;Finanzas;22%;19%;17%;21%
Mariana Sánchez;64;Producción;25%;19%;6%;9%
Carlos Gómez;18;Compras;21%;4%;6%;19%
Andrea Rodríguez;18;Producción;8%;2%;1%;20%
Valentina Fernández;52;Marketing;16%;13%;4%;16%
Pedro Torres;65;Marketing;21%;2%;9%;14%
Laura Arango;33;Producción;19%;8%;14%;14%
Juan Gómez;61;Sistemas;1%;14%;17%;23%
Andrea Rodríguez;46;Finanzas;20%;25%;10%;22%
Valentina Rodríguez;19;Recursos Humanos;25%;21%;12%;7%
Juan Torres;46;Sistemas;4%;14%;12%;10%
Valentina Rodríguez;38;Producción;5%;7%;9%;1%
Sebastián Torres;59;Logística;21%;6%;3%;4%
Pedro Sánchez;46;Compras;3%;13%;22%;13%
Mariana López;64;Ventas;7%;16%;18%;22%
Carlos Ramírez;57;Ventas;11%;18%;11%;14%
Mariana Torres;18;Logística;11%;7%;3%;15%
Valentina Arango;48;Producción;13%;7%;15%;19%
Andrea Torres;42;Recursos Humanos;12%;6%;9%;14%
Mariana López;25;Sistemas;25%;17%;8%;15%
Carlos Ramírez;38;Finanzas;4%;9%;8%;19%
Camila López;48;Ventas;13%;12%;1%;24%
Pedro Gómez;21;Producción;18%;16%;24%;13%
Valentina Pérez;43;Compras;22%;3%;6%;11%
Mariana Martínez;55;Ventas;15%;6%;25%;15%
Laura Sánchez;54;Compras;19%;12%;7%;7%
Mariana Torres;54;Compras;6%;1%;12%;18%
Laura Torres;45;Producción;16%;10%;18%;5%
Laura Pérez;64;Sistemas;24%;9%;19%;7%
